id	nm	countryCode	postalCode
819827	Razvilka	RU	-
524901	Moscow	RU	-
1271881	Firozpur Jhirka	IN	-
1283240	Kathmandu	NP	-
703448	Kiev	UA	-
1282898	Pokhara	NP	-
3632308	Merida	VE	-
1273294	Delhi	IN	-
502069	Reshetnikovo	RU	-
3645532	Ciudad Bolivar	VE	-
529368	Marfino	RU	121353
462755	Zhukovskiy	RU	-
502018	Reutov	RU	-
538601	Kurovskoye	RU	142620
463355	Zheleznodorozhnyy	RU	143989
560756	Golitsyno	RU	-
509820	Petrozavodsk	RU	-
498817	Saint Petersburg	RU	-
547560	Klimovsk	RU	-
1496747	Novosibirsk	RU	-
709717	Donetsk	UA	-
555746	Istra	RU	-
712969	Bakhchysaray	UA	-
569591	Chekhov	RU	142301
532477	Lyubuchany	RU	-
471457	Vostryakovo	RU	-
711660	Boryspil	UA	-
564719	Dubna	RU	141981
564912	Druzhba	RU	140152
571557	Bronnitsy	RU	-
563705	Dzerzhinskiy	RU	-
532657	Lytkarino	RU	-
523812	Mytishchi	RU	-
503977	Pushkino	RU	141205
505597	Pravdinskiy	RU	-
463826	Zelenogradskiy	RU	-
580597	Ashukino	RU	-
549373	Khotkovo	RU	-
497165	Semkhoz	RU	-
496638	Sergiyev Posad	RU	-
580881	Arsaki	RU	-
487095	Strunino	RU	-
583350	Aleksandrov	RU	-
552977	Karabanovo	RU	-
548278	Kirzhach	RU	-
515024	Orekhovo-Zuyevo	RU	-
535243	Likino-Dulevo	RU	-
566950	Davydovo	RU	-
557132	Ilinskiy Pogost	RU	-
468250	Yegoryevsk	RU	-
562445	Fosforitnyy	RU	-
549531	Khorlovo	RU	-
534174	Lopatinskiy	RU	-
531098	Malino	RU	-
526652	Mikhnevo	RU	142840
526651	Mikhnevo	RU	142840
487441	Stolbovaya	RU	-
540030	Kubinka	RU	-
505824	Povarovo	RU	-
557382	Iksha	RU	-
565955	Dmitrov	RU	-
492333	Skoropuskovskiy	RU	-
529638	Mamontovka	RU	-
694320	Shchebetovka	UA	-
1261481	New Delhi	IN	-
1271951	Faridabad	IN	-
1260637	Palwal	IN	-
1270000	Hodal	IN	-
1266073	Kosi	IN	-
1274343	Chhata	IN	-
1263364	Mathura	IN	-
1271059	Gokul	IN	-
1271956	Farah	IN	-
1279259	Agra	IN	-
1266510	Kiraoli	IN	-
1271900	Fatehpur Sikri	IN	-
1276128	Bharatpur	IN	-
1264323	Mahwah	IN	-
1273369	Dausa	IN	-
1276767	Basi	IN	-
1269515	Jaipur	IN	-
1263649	Manoharpur	IN	-
1256705	Shahpura	IN	301706
3645528	Ciudad Guayana	VE	-
3625710	Upata	VE	-
572090	Borovoy	RU	-
471501	Vostochnyy	RU	105173
3641099	El Vigia	VE	-
3644417	Ejido	VE	-
473021	Vnukovo	RU	-
516436	Obninsk	RU	-
524649	Mstikhino	RU	-
579838	Babynino	RU	-
523186	Navlya	RU	-
582358	Altukhovo	RU	-
546633	Kokorevka	RU	-
485817	Suzemka	RU	-
709584	Druzhba	UA	-
688501	Yampil	UA	-
711999	Bobrovytsya	UA	-
550280	Khimki	RU	-
542374	Krasnogorsk	RU	143402
522730	Nemchinovka	RU	-
476372	Vatutinki	RU	-
468671	Yasnogorsk	RU	-
464343	Zasechnoye	RU	-
500400	Russkiy Kameshkir	RU	-
582926	Alekseyevka	RU	-
608668	Oral	KZ	-
610386	Bayganin	KZ	-
1265961	Kotputli	IN	-
1276589	Behror	IN	-
1276666	Bawal	IN	-
1272822	Dharuhera	IN	-
1270642	Gurgaon	IN	-
523750	Naberezhnyye Chelny	RU	-
625144	Minsk	BY	-
571170	Bugulma	RU	-
552974	Karabash	RU	423229
2014006	Ussuriysk	RU	-
689037	Vorokhta	UA	-
1253405	Varanasi	IN	-
1258642	Ramnagar	IN	221008
1262634	Mughal Sarai	IN	-
1257022	Satna	IN	-
1260454	Panna	IN	-
1275120	Bulandshahr	IN	-
1256532	Shikarpur	IN	202395
1272653	Dibai	IN	-
1261837	Naraura	IN	-
1257800	Sahaswan	IN	-
1253918	Ujhani	IN	-
1268540	Kakrala	IN	-
1253673	Usehat	IN	-
1269447	Jalalabad	IN	-
1278990	Allahganj	IN	-
1270370	Hardoi	IN	-
1257459	Sandila	IN	-
1264085	Malihabad	IN	-
1268545	Kakori	IN	-
1264733	Lucknow	IN	-
1270890	Goshainganj	IN	-
1257005	Satrikh	IN	-
1252698	Zaidpur	IN	-
1254536	Tikaitnagar	IN	-
1283621	Bhairahawa	NP	-
1283613	Bharatpur	NP	-
1283190	Kirtipur	NP	-
1282931	Patan	NP	-
692672	Stavyshche	UA	-
711390	Brovary	UA	-
694558	Semypolky	UA	-
578953	Barvikha	RU	-
509998	Petrovo-Dalneye	RU	-
521821	Nikolina Gora	RU	-
461920	Zvenigorod	RU	-
480685	Tuchkovo	RU	-
541286	Kratovo	RU	-
545405	Konobeyevo	RU	-
471656	Voskresensk	RU	-
502345	Rechitsy	RU	-
525396	Monino	RU	-
516305	Obukhovo	RU	-
556463	Imeni Vorovskogo	RU	-
563523	Elektrostal	RU	-
512023	Pavlovskiy Posad	RU	-
565007	Drezna	RU	-
515186	Opalikha	RU	-
518346	Novopetrovskoye	RU	-
475845	Verbilki	RU	-
580616	Ashitkovo	RU	-
495515	Shaturtorf	RU	-
573922	Bolshiye Vyazemy	RU	-
463465	Zhavoronki	RU	-
527888	Medvezhyegorsk	RU	-
6730265	Obolensk	RU	-
496527	Serpukhov	RU	-
503581	Pyaozerskiy	RU	-
533964	Loukhi	RU	-
545673	Konakovo	RU	-
461704	Novozavidovskiy	RU	-
543106	Kozlovo	RU	-
1264773	Loni	IN	-
294166	Mitzpe Ramon	IL	-
1258972	Raipur	IN	306304
691606	Terny	UA	-
565284	Donskoye	RU	-
688455	Yaremche	UA	-
1506394	Plotnikovo	RU	-
518337	Novopodrezkovo	RU	-
492448	Skhodnya	RU	-
463829	Zelenograd	RU	-
583491	Alabushevo	RU	-
510225	Petrodvorets	RU	-
487227	Strelna	RU	-
621729	Horad Smalyavichy	BY	-
618800	Horad Zhodzina	BY	-
1283011	Namche Bazar	NP	-
1253986	Udaipur	IN	313001
1260716	Pali	IN	306400
1268865	Jodhpur	IN	342001
1269507	Jaisalmer	IN	-
1259148	Pushkar	IN	-
1279159	Ajmer	IN	-
1267995	Kanpur	IN	-
1271439	Gaya	IN	-
1275389	Bodh Gaya	IN	-
479123	Ulyanovsk	RU	-
6417535	Mosrentgen	RU	-
500843	Rublevo	RU	-
469341	Yam	RU	-
486968	Stupino	RU	-
524423	Muranovo	RU	-
490996	Solnechnogorsk	RU	-
507599	Pokrov	RU	-
495344	Shchelkovo	RU	-
562319	Fryazino	RU	-
491351	Sofrino	RU	-
565381	Domodedovo	RU	-
469533	Yakovlevskoye	RU	-
568808	Chernogolovka	RU	-
562322	Fryanovo	RU	-
523553	Nakhabino	RU	-
495619	Sharya	RU	-
529505	Manturovo	RU	157302
532138	Makaryev	RU	-
543494	Kovernino	RU	-
559678	Gorodets	RU	-
464101	Zavolzhye	RU	-
510323	Pestyaki	RU	-
559459	Gorokhovets	RU	-
524294	Murom	RU	-
468030	Yelatma	RU	-
551891	Kasimov	RU	-
554836	Izhevskoye	RU	-
489741	Spassk-Ryazanskiy	RU	-
524298	Murmino	RU	-
500096	Ryazan	RU	-
499975	Rybnoye	RU	-
464687	Zaraysk	RU	-
513362	Ozherelye	RU	-
562321	Fryazevo	RU	-
461916	Zvenigovo	RU	-
543018	Kozmodemyansk	RU	-
572665	Bor	RU	-
520555	Nizhniy Novgorod	RU	-
522871	Neklyudovo	RU	-
513095	Palekh	RU	-
466084	Yuzha	RU	-
553389	Kameshkovo	RU	-
548781	Kideksha	RU	-
485824	Suzdal	RU	-
561783	Gavrilov Posad	RU	-
466215	Yuryev-Polskiy	RU	-
578641	Bavleny	RU	-
546521	Kolchugino	RU	-
491687	Smolensk	RU	-
628758	Dubrowna	BY	-
624079	Orsha	BY	-
630431	Baran	BY	-
622034	Shklow	BY	-
625665	Mahilyow	BY	-
629471	Buynichy	BY	-
627272	Kirawsk	BY	-
630468	Babruysk	BY	-
624034	Asipovichy	BY	-
626956	Kapyl	BY	-
624700	Nyasvizh	BY	-
628182	Haradzyeya	BY	-
625128	Mir	BY	-
626939	Karelichy	BY	-
624785	Navahrudak	BY	-
621754	Slonim	BY	-
622997	Pruzhany	BY	-
629634	Brest	BY	-
545791	Kommunar	RU	600023
575609	Bogolyubovo	RU	-
543878	Kostroma	RU	-
486015	Susanino	RU	-
555312	Ivanovo	RU	-
562309	Furmanov	RU	-
505060	Privolzhsk	RU	-
509029	Ples	RU	-
542024	Krasnoye-na-Volge	RU	-
543704	Kotlas	RU	-
505112	Privodino	RU	-
542908	Krasavino	RU	-
476062	Velikiy Ustyug	RU	-
516539	Nyuksenitsa	RU	-
481960	Totma	RU	-
491025	Soligalich	RU	-
567695	Chukhloma	RU	-
562161	Galich	RU	-
563522	Elektrougli	RU	-
489264	Staraya	RU	-
709112	Foros	UA	-
700997	Miskhor	UA	-
712930	Balaklava	UA	-
688533	Yalta	UA	98600
701619	Massandra	UA	-
711527	Nikita	UA	-
712576	Inkerman	UA	-
694423	Sevastopol	UA	-
713513	Alushta	UA	-
697653	Perevalnoe	UA	-
692315	Sudak	UA	-
697124	Koktebel	UA	-
709161	Feodosiya	UA	-
694910	Saky	UA	-
690556	Uyutne	UA	-
688105	Yevpatoriya	UA	-
706524	Kerch	UA	-
700550	Mysove	UA	-
710687	Chornomorske	UA	-
491422	Sochi	RU	-
542681	Krasnaya Polyana	RU	354392
536625	Lazarevskoye	RU	-
523048	Nebug	RU	-
553514	Kamennomostskiy	RU	-
566157	Divnomorskoye	RU	-
561667	Gelendzhik	RU	-
559317	Goryachiy Klyuch	RU	-
584365	Abrau-Dyurso	RU	-
582181	Anapskaya	RU	-
473295	Vityazevo	RU	-
473546	Vinogradnyy	RU	-
483661	Temryuk	RU	-
560513	Golubitskaya	RU	-
583811	Akhtanizovskaya	RU	-
488713	Staronizhestebliyevskaya	RU	-
611847	Sokhumi	GE	-
615912	Stantsiya Novyy Afon	GE	-
615460	Bichvinta	GE	-
614622	Gagra	GE	-
512039	Pavlovskaya Sloboda	RU	-
2014571	Uglovoye	RU	-
2021956	Knevichi	RU	-
584243	Adler	RU	-
803494	Orel-Izumrud	RU	-
803498	Vysokoye	RU	-
549424	Khosta	RU	-
823674	Dagomys	RU	-
477047	Vardane	RU	-
552562	Kardonikskaya	RU	-
498462	Sary-Tyuz	RU	-
505539	Pregradnaya	RU	-
559320	Goryachevodskiy	RU	-
494846	Shepsi	RU	-
503550	Pyatigorsk	RU	-
480716	Tuapse	RU	-
526480	Mineralnyye Vody	RU	-
581788	Andzhiyevskiy	RU	-
485871	Suvorovskaya	RU	-
535440	Levokumka	RU	-
518585	Novomikhaylovskiy	RU	-
563601	Dzhubga	RU	-
580969	Arkhipo-Osipovka	RU	-
490747	Soluno-Dmitriyevskoye	RU	-
708953	Gaspra	UA	-
550846	Khadyzhensk	RU	-
581313	Apsheronsk	RU	-
504376	Pshada	RU	-
709075	Partenit	UA	-
522377	Nevinnomyssk	RU	-
554668	Kabardinka	RU	-
537281	Labinsk	RU	-
498672	Saratovskaya	RU	-
518255	Novorossiysk	RU	-
577893	Belorechensk	RU	-
502542	Rayevskaya	RU	-
496385	Severnoye	RU	-
483142	Adygeysk	RU	-
517769	Novoukrainskiy	RU	-
482582	Tlyustenkhabl	RU	-
512382	Pashkovskiy	RU	-
692714	Staryy Krym	UA	297343
487846	Stavropol	RU	-
542420	Krasnodar	RU	-
712587	Bilohirsk	UA	-
712427	Berehove	UA	298176
488606	Starotitarovskaya	RU	-
517842	Novotitarovskaya	RU	-
550452	Khatukay	RU	-
492094	Slavyansk-na-Kubani	RU	-
478044	Ust-Labinsk	RU	-
481275	Trudobelikovskiy	RU	-
509124	Plastunovskaya	RU	-
